"External ID","Issue Type","Parent External ID","Epic Name","Summary","Description","Business Value","Acceptance Criteria","Priority","Phase","Suggested Sprint","Component/s","Labels","Story Points","Dependencies","API Endpoints","Code References","Technical Notes / Risks","Definition of Done","Out of Scope"
"MOB-030","Story","MOB-E05","","Build a mobile Lot at a Glance view","Provide a mobile-first overview of active lots with search, stage-status filters, completion, due dates, and quick status actions. Use cards or a horizontally constrained matrix rather than porting the desktop spreadsheet table.","Gives managers fast portfolio-level visibility from a phone.","Active lots can be searched and filtered by one or more stage statuses.
Each lot shows project/client, lot ID, installation date, progress, and critical stage state.
Quick stage updates use the same permissions and mutation flow as stage detail.
Filters persist locally but can be reset.
Large result sets remain smooth and paginated.
Tablet layout may add a denser matrix without harming phone usability.","High","MVP","Sprint 5","Mobile App,Lots,Stages","mobile,lot-at-a-glance,filters,manager","13","MOB-006,MOB-028,MOB-029","GET /api/v1/lot/active; POST/PATCH stage routes","src/app/admin/projects/lotatglance/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","Excel export and drag-based desktop Gantt in MVP."
"MOB-031","Story","MOB-E05","","Add read-only material selection, materials-to-order, and used-material sections to lot detail","Expose existing material selection versions, MTO status/items, and used-material summary from a lot/project so field users can reference current specifications without editing complex desktop forms.","Reduces reliance on printed or stale material information on site.","Latest material-selection version and version history are identifiable.
MTO items show category-specific identity, requested/ordered/used quantities, and notes.
Used materials show item, quantity, and related lot/project context.
Attachments open in the native viewer.
Edit/export actions are omitted until Phase 2 unless separately authorized.","Medium","MVP","Sprint 5","Mobile App,Projects,Materials","mobile,material-selection,mto,read-only","8","MOB-026,MOB-035","GET /api/v1/material_selection/lot/[lot_id]; GET /api/v1/material_selection/version/[version_id]; GET /api/v1/materials_to_order/[id]; GET /api/v1/project/[id]/used-materials","src/app/admin/projects/components/MaterialSelection.jsx; src/app/admin/projects/components/MaterialsToOrder.jsx; src/app/admin/projects/components/UsedMaterials.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","PDF/XLSX generation and full material-selection authoring."
"MOB-E06","Epic","","Field Operations, Media, and Offline Reliability","Field Operations, Media, and Offline Reliability","Enable installers and field employees to work from assigned lots, capture and upload site media, annotate files, complete maintenance steps, view documents, and continue through intermittent connectivity.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","MVP","Sprint 4-6","Mobile App,Media,Offline,Backend API","mobile,field,media,offline,installer","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-032","Story","MOB-E06","","Build My Assigned Lots for installers","Show lots assigned to the signed-in employee with project/client context, dates, status, address/contact actions where available, upload progress, and notification toggle entry.","Gives installers a focused work queue instead of the full admin application.","Only lots assigned to the current user are returned for employee users.
Managers/admins follow the agreed broader visibility rule.
Cards show project, client, lot ID/name, installation due date, and status.
Search/filter and pull-to-refresh are supported.
Tapping a lot opens field operations for that lot.
Empty assignment state provides guidance.","Highest","MVP","Sprint 4","Mobile App,Field Operations","mobile,installer,assigned-lots,field","8","MOB-019,MOB-027","GET /api/v1/lot/installer/[userId]","src/app/admin/site_photos/page.jsx; src/app/api/v1/lot/installer/[id]/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-033","Story","MOB-E06","","Implement camera, photo-library, and document-picker permissions","Request camera, media-library, microphone where video requires it, and document-picker access only at the moment of use. Provide rationale, limited-access handling, denial recovery, and Settings deep links.","Makes field capture reliable and respects platform privacy expectations.","Permissions are requested contextually, not on first launch without need.
Denied, restricted, and limited-photo-library states have clear recovery actions.
Camera and picker support the approved image/video/document types.
Platform usage descriptions match actual use.
No capture starts without explicit user action.
Behavior is tested on supported iOS and Android versions.","Highest","MVP","Sprint 4","Mobile App,Media,Privacy","mobile,camera,permissions,privacy","5","MOB-009,MOB-012","","","Expo Camera is available for iOS and Android: https://docs.expo.dev/versions/latest/sdk/camera/ .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-034","Story","MOB-E06","","Capture, preview, compress, and classify site media","Let users capture or select multiple media files, preview them, remove unwanted selections, add per-file notes, and classify them into delivery, installation, maintenance, finished-site, site, or measurement groups.","Reduces upload time and improves the quality and organization of site evidence.","Users can capture/select supported files and see size/type before upload.
Images are orientation-corrected and compressed to an agreed quality/size without destroying required detail.
Videos follow defined duration/size rules.
Each file can have notes.
Site and measurement photos map to SITE_MEASUREMENTS with the correct site_group.
The app warns before discarding pending selections.","Highest","MVP","Sprint 4-5","Mobile App,Media,Field Operations","mobile,media,capture,compression,classification","8","MOB-033","","src/app/admin/site_photos/page.jsx; prisma/schema.prisma:TabKind,FileKind,SiteMeasurements","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-035","Story","MOB-E06","","Build a resilient upload queue with progress, retry, and idempotency","Upload selected files as multipart form data with per-file progress, bounded concurrency, foreground/background transition handling, retry, cancellation, persisted pending queue, and duplicate prevention.","Prevents losing field work on weak mobile connections.","Each file shows queued, uploading, uploaded, failed, or cancelled state.
Queue survives app backgrounding and process restart to the extent supported by the selected framework.
Retries use client upload IDs/idempotency and do not create duplicate lot_file records.
User can retry or remove failures individually and submit all.
Successful uploads invalidate lot/media caches.
Uploads over cellular follow the agreed user setting/warning.
Telemetry records duration, bytes, retries, and failure code without file content.","Highest","MVP","Sprint 5","Mobile App,Media,Offline,Networking","mobile,upload,queue,retry,idempotency","13","MOB-007,MOB-008,MOB-013,MOB-034","POST /api/v1/uploads/lots/[project_id]/[lot_id]/[tabkind]","src/app/admin/site_photos/page.jsx; src/app/admin/projects/components/FileUploadSection.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-036","Story","MOB-E06","","Build native lot media gallery and file viewer","Display lot-tab media using thumbnails and lazy loading. Open images, videos, PDFs, and other documents using secure authenticated download/cache behavior.","Makes drawings, specifications, measurements, and site photos available in the field.","Gallery groups files by lot tab and site_group where applicable.
Thumbnails and pagination/lazy loading limit memory and bandwidth.
Image zoom, video playback with byte ranges, and PDF/document viewing are supported.
Protected files cannot be opened after sign-out.
User can explicitly download/share only when permitted.
Viewer handles missing, deleted, unsupported, and offline-not-cached files.","Highest","MVP","Sprint 5","Mobile App,Media,Documents","mobile,gallery,pdf,video,documents","13","MOB-007,MOB-013,MOB-035","GET /api/v1/lot/[id]; GET /api/v1/uploads/lots/[...path]","src/app/admin/projects/components/ViewMedia.jsx; src/app/admin/projects/[id]/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-037","Story","MOB-E06","","Edit file notes and soft-delete uploaded media","Allow authorized users to update lot_file notes and soft-delete a file with confirmation, optimistic feedback, audit logging, and cache refresh.","Keeps site media accurate without risking irreversible deletion.","Notes load and update for the selected file.
Delete confirmation names the file and explains soft-delete behavior.
Only authorized users see edit/delete actions.
Deleted files disappear from active galleries and return 404 from media delivery.
Failure restores the item and shows a useful error.
Audit log records user, entity, and action.","High","MVP","Sprint 5","Mobile App,Media,Audit","mobile,file-notes,soft-delete,audit","5","MOB-005,MOB-036","PATCH /api/v1/lot_file/[id]; DELETE /api/v1/uploads/lots/[...path]","src/app/admin/site_photos/page.jsx; src/app/api/v1/lot_file/[id]/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-038","Story","MOB-E06","","Build maintenance photo checklist","For maintenance files, show and update the prepared-by-office, prepared-by-production, delivered-to-site, and installed checklist.","Provides a shared handoff record across office, production, delivery, and installation.","Checklist is shown only for applicable maintenance files.
All four Boolean states load accurately and can be updated by authorized users.
Updates are idempotent upserts and preserve unrelated fields.
Offline edits are queued or clearly blocked according to the offline policy.
Concurrent changes resolve safely or present a conflict.
Audit/telemetry records the outcome.","High","MVP","Sprint 5","Mobile App,Field Operations,Maintenance","mobile,maintenance,checklist","5","MOB-036,MOB-040","POST /api/v1/maintenance_checklist/upsert","src/app/admin/site_photos/page.jsx; prisma/schema.prisma:model maintenance_checklist","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-039","Story","MOB-E06","","Build site-measurement photo grouping and workflow","Support SITE_PHOTOS and MEASUREMENT_PHOTOS as distinct mobile choices while mapping both to the SITE_MEASUREMENTS lot tab and correct site_group values.","Preserves the domain distinction used by drafting and site teams.","Users can clearly choose Site Photos or Measurement Photos.
Uploads send tabkind=site_measurements and correct site_group.
Gallery filters and labels preserve the two groups.
Existing files without a group are handled under an explicit fallback label.
Notes and delete behavior match other lot media.","High","MVP","Sprint 5","Mobile App,Site Measurements,Media","mobile,site-measurements,photos","5","MOB-034,MOB-035,MOB-036","POST/GET /api/v1/uploads/lots/[...path]","src/app/admin/site_photos/page.jsx; src/app/admin/projects/components/SiteMeasurement.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-040","Story","MOB-E06","","Implement offline read cache and queued field mutations","Define and implement offline behavior for assigned lots, lot details, stages, media metadata, notes, checklists, and upload queue. Show data freshness and pending-sync state.","Keeps the app useful on construction sites with intermittent connectivity.","Previously loaded assigned lots and lot details remain readable offline within retention limits.
Pending notes/checklist changes and uploads are durable and visibly marked.
Sync resumes on reconnect with bounded retries.
Conflicts follow the agreed 409 resolution policy and never silently overwrite newer server data.
Users can inspect and retry/discard failed queue items.
Logout clears protected offline data.
Offline test matrix passes on iOS and Android.","Highest","MVP","Sprint 5-6","Mobile App,Offline,Sync","mobile,offline,sync,queue,conflict","13","MOB-008,MOB-013,MOB-014,MOB-035","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E07","Epic","","Calendar, Meetings, and Re-engagement","Calendar, Meetings, and Re-engagement","Provide a native calendar and meeting workflow with participants, linked lots, reminders, and deep-link re-engagement.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","High","MVP","Sprint 5-6","Mobile App,Calendar,Notifications","mobile,calendar,meetings,notifications","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-041","Story","MOB-E07","","Build meeting agenda and calendar views","Show shared meetings in agenda and month views with local date/time, title, linked lots, participants, notes, and quick navigation to related records.","Lets staff coordinate upcoming work from mobile.","Agenda view is the default on compact phones; month view is available.
Meetings show start/end, title, participants, lots, and notes.
Date navigation and Today action work across month/year boundaries.
Timezone conversion follows the agreed policy.
Pull-to-refresh, pagination/range loading, empty, and error states are present.
Related lots open via deep links.","High","MVP","Sprint 5","Mobile App,Calendar","mobile,calendar,meetings,agenda","8","MOB-006,MOB-013,MOB-015","GET /api/v1/meeting/all or date-range mobile endpoint","src/app/admin/calendar/page.jsx; src/app/api/v1/meeting/all/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-042","Story","MOB-E07","","Create, edit, and soft-delete meetings","Allow authorized users to create or edit a meeting with title, start/end, notes, reminder, participants, and linked lots; allow deletion with confirmation.","Enables scheduling changes away from the office.","Required fields and end-after-start validation are enforced.
Current user participation follows the agreed business rule.
Participant and lot selectors are searchable and paginated.
Create/edit refreshes dashboard and calendar caches.
Delete requires confirmation and follows existing data-retention rules.
Meeting notifications are not duplicated on retries.
Audit log records successful mutations.","High","MVP","Sprint 5-6","Mobile App,Calendar,Backend API","mobile,meeting,crud,participants","8","MOB-005,MOB-006,MOB-041","POST /api/v1/meeting/create; PATCH/DELETE /api/v1/meeting/[id]; GET /api/v1/user/all; GET /api/v1/lot/active","src/app/admin/calendar/page.jsx; src/app/api/v1/meeting/**","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-043","Story","MOB-E07","","Add push registration, notification routing, and deep-link handling","Register device push tokens per user/device, deliver supported operational notifications, respect preferences, route taps to native records, and remove invalid tokens.","Brings users back to time-sensitive work such as assignments, stages, meetings, stock, and statements.","Permission request occurs after an explanatory prompt and supports denial.
Backend stores multiple device tokens per user with platform, environment, and last-seen metadata.
Notification preferences are checked before send.
Tap routes to an authorized native screen from foreground, background, and cold start.
Invalid/expired tokens are removed from provider feedback.
Payload contains no unnecessary sensitive data.
Delivery/open telemetry and opt-out behavior are verified.","High","MVP","Sprint 6","Mobile App,Backend API,Notifications","mobile,push,notifications,deep-link","13","MOB-015,MOB-021,MOB-042","","src/lib/notification.js; prisma/schema.prisma:model notification_config","Expo notifications overview: https://docs.expo.dev/push-notifications/overview/ .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E08","Epic","","Inventory and Procurement","Inventory and Procurement","Extend the mobile app to inventory, stock movements, materials-to-order, purchase-order receiving, suppliers, and statements after the field MVP is stable.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Medium","Phase 2","Sprint 7-10","Mobile App,Inventory,Procurement,Backend API","mobile,inventory,procurement,phase-2","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-044","Story","MOB-E08","","Build inventory browse, category filter, search, and item detail","Provide category-aware inventory browsing for sheets, handles, hardware, accessories, and edging tape, with quantity, unit, image, supplier references, and category-specific fields.","Allows staff to identify and check materials from the workshop or site.","Categories map exactly to Prisma Category enum values.
List is paginated and searchable.
Item identity uses relevant category fields and handles incomplete data.
Detail shows quantity/unit, image, suppliers, prices where authorized, and recent transactions.
Deleted items are excluded.
Large lists remain smooth.","Medium","Phase 2","Sprint 7","Mobile App,Inventory","mobile,inventory,items,phase-2","13","MOB-006,MOB-013,MOB-019","GET /api/v1/item/all/[category]; GET /api/v1/item/[id]; GET /api/v1/item/by-supplier/[id]; GET /api/v1/stock_transaction/by-item/[id]","src/app/admin/inventory/page.jsx; src/app/admin/inventory/[id]/page.jsx; prisma/schema.prisma:item and category models","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-045","Story","MOB-E08","","Create stock transactions and mobile stock tally","Allow authorized users to record ADDED, USED, and WASTED transactions and perform a guided stock tally with validation and audit trail.","Improves stock accuracy at the point of work.","Transaction type maps to ADDED, USED, or WASTED.
Quantity and required project/lot/MTO/PO relationships validate by transaction type.
A confirmation summarizes stock impact before submit.
Idempotency prevents double submission.
Stock tally supports search, changed-only review, and clear success/failure per item.
Updated item quantities refresh immediately.
Audit log records actor and source.","Medium","Phase 2","Sprint 7","Mobile App,Inventory,Stock","mobile,stock,transaction,tally,phase-2","13","MOB-008,MOB-044","POST /api/v1/stock_transaction/create; POST /api/v1/stock_tally; GET /api/v1/stock_transaction/by-item/[id]","src/components/StockTally.jsx; src/app/admin/inventory/usedmaterial/page.jsx; src/app/api/v1/stock_transaction/**","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-046","Story","MOB-E08","","Build materials-to-order list and detail","Show MTO records with project/lots, status, items, requested/ordered/used quantities, attachments, notes, and supplier context.","Makes procurement demand visible away from the desktop.","List supports DRAFT, PARTIALLY_ORDERED, FULLY_ORDERED, and CLOSED filters.
Detail reconciles requested, ordered, ordered-by-PO, used, and reserved quantities.
Project and lot links open native detail.
Attachments use the secure viewer.
Pagination, search, loading, and error states are implemented.
Values match the desktop API for sampled records.","Medium","Phase 2","Sprint 8","Mobile App,Procurement,MTO","mobile,mto,procurement,phase-2","8","MOB-031,MOB-044","GET /api/v1/materials_to_order/all; GET /api/v1/materials_to_order/[id]; GET /api/v1/materials_to_order/cumulative","src/app/admin/suppliers/materialstoorder/page.jsx; src/app/admin/projects/components/MaterialsToOrder.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-047","Story","MOB-E08","","Reserve and consume inventory against MTO items","Allow authorized users to reserve available item stock for an MTO item and record used quantities within available/reserved limits.","Connects workshop stock to live project demand.","Available, reserved, and used quantities are shown with consistent units.
Reservation cannot exceed available stock or remaining MTO demand.
Use cannot exceed reserved/available rules.
Concurrent conflicts return actionable feedback.
Create/update/delete reservation actions are audited.
MTO and inventory caches reconcile after success.","Medium","Phase 2","Sprint 8","Mobile App,Inventory,MTO","mobile,reservation,mto,stock,phase-2","8","MOB-045,MOB-046","POST /api/v1/reserve_item_stock/create; GET/PATCH/DELETE /api/v1/reserve_item_stock/[id]; GET /api/v1/reserve_item_stock/item/[id]","src/app/api/v1/reserve_item_stock/**; prisma/schema.prisma:model reserve_item_stock","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-048","Story","MOB-E08","","Build purchase-order list, detail, and receiving workflow","Show purchase orders and items, supplier, status, totals, invoice attachment, and receiving progress. Allow authorized users to record item receipts and resulting stock updates.","Lets workshop staff receive goods at the delivery point.","List filters DRAFT, ORDERED, PARTIALLY_RECEIVED, FULLY_RECEIVED, and CANCELLED.
Detail shows ordered and received quantities per item and financial fields according to permission.
Receiving prevents negative or over-receipt unless an approved override exists.
Partial/full status is recalculated consistently.
Stock transactions are created atomically with receipt updates.
Idempotency prevents duplicate receipts.
Attachment opens securely.","Medium","Phase 2","Sprint 8-9","Mobile App,Procurement,Purchase Orders,Stock","mobile,purchase-order,receiving,stock,phase-2","13","MOB-045,MOB-046","GET /api/v1/purchase_order/all; GET/PATCH /api/v1/purchase_order/[id]; POST /api/v1/purchase_order/received_items","src/app/admin/suppliers/purchaseorder/page.jsx; src/app/admin/suppliers/components/PurchaseOrder.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-049","Story","MOB-E08","","Build supplier statement list, detail, status, and attachment viewer","Show supplier statements with supplier, month, due date, amount, payment status, notes, and secure attachment. Allow authorized status/note updates.","Makes upcoming supplier obligations visible to managers.","List supports supplier, month/year, due, and PENDING/PAID filters.
Amounts and dates use Australian display formats while preserving typed values.
Attachment is protected and viewable.
Authorized users can update payment status and notes.
Financial data is not cached offline unless explicitly approved.
Audit log records mutations.","Low","Phase 2","Sprint 9","Mobile App,Procurement,Supplier Statements","mobile,supplier-statement,finance,phase-2","8","MOB-036,MOB-050","GET /api/v1/supplier/statements; GET/PATCH /api/v1/supplier/[id]/statements/[statementId]","src/app/admin/suppliers/statements/page.jsx; src/app/admin/suppliers/components/Statement.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-050","Story","MOB-E08","","Build supplier directory and supplier detail","Provide a searchable supplier directory with contact actions, supplied items, purchase orders, MTO context, and statements according to permissions.","Gives purchasing and workshop staff supplier context on mobile.","Supplier list is paginated and searchable.
Detail shows name, contact data, website, notes, contacts, and linked records according to permissions.
Phone, email, website, and map/address actions use native links with safe formatting.
Deleted suppliers are excluded.
Financial sections respect module permission and offline-cache restrictions.","Medium","Phase 2","Sprint 9","Mobile App,Suppliers,Procurement","mobile,suppliers,directory,phase-2","8","MOB-006,MOB-019","GET /api/v1/supplier/all; GET /api/v1/supplier/[id]; GET /api/v1/item/by-supplier/[id]; GET /api/v1/purchase_order/by-supplier/[id]","src/app/admin/suppliers/page.jsx; src/app/admin/suppliers/[id]/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E09","Epic","","CRM, Workforce, and Administration","CRM, Workforce, and Administration","Add mobile access to clients, contacts, employees, account administration, configuration, logs, and recovery only where business value and privacy controls justify it.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Low","Phase 2-3","Sprint 9-12","Mobile App,CRM,Workforce,Administration","mobile,crm,employees,admin,phase-2","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-051","Story","MOB-E09","","Build client directory, client detail, and contact actions","Provide paginated client search, client detail, contacts, linked projects/lots, notes, and native phone/email/address actions. Editing follows module permissions.","Lets managers and field staff reach customer context quickly.","Client list and search are paginated.
Detail shows authorized fields, contacts, and active projects/lots.
Contact actions open native phone/email/maps after user action.
Add/edit contact and client actions are hidden without permission.
Soft-deleted records are excluded.
Sensitive notes follow offline-cache policy.","Medium","Phase 2","Sprint 9","Mobile App,Clients,CRM","mobile,clients,contacts,crm,phase-2","13","MOB-006,MOB-019,MOB-025","GET /api/v1/client/all; GET/PATCH /api/v1/client/[id]; GET/POST/PATCH/DELETE contact routes","src/app/admin/clients/page.jsx; src/app/admin/clients/[id]/page.jsx; src/components/ContactSection.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-052","Story","MOB-E09","","Build employee directory and safe employee profile","Provide an employee directory and role-appropriate profile with availability, stage assignments, and work contact information while restricting HR, banking, super, ABN, and TFN data.","Supports staff coordination without exposing unnecessary personal data.","Directory is searchable and excludes inactive/deleted staff by default.
Profile exposes only fields approved for the viewer's role.
Banking, TFN, super, and emergency data require explicit elevated permission and are excluded by default.
Availability is displayed in a mobile-friendly format.
Phone/email actions are supported.
Privacy access is tested by role.","Low","Phase 2","Sprint 10","Mobile App,Employees,Privacy","mobile,employees,privacy,phase-2","8","MOB-005,MOB-006,MOB-019","GET /api/v1/employee/all; GET /api/v1/employee/[id]","src/app/admin/employees/page.jsx; src/app/admin/employees/[id]/page.jsx; prisma/schema.prisma:model employees","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-053","Story","MOB-E09","","Add master-admin user and module-access administration","Allow master-admin users to create/update/deactivate user accounts and edit module permissions from a tablet-friendly administrative flow with confirmation and audit trail.","Provides emergency and on-the-go access administration.","Feature is visible only to master-admin.
Account changes validate username, employee association, role, active state, and password rules.
Permission editor covers every module_access field with grouped descriptions.
Admin cannot accidentally remove their final required master access without a safeguard.
Changes are audited and take effect promptly.
Destructive actions use soft-deactivation where appropriate.","Low","Phase 3","Sprint 11","Mobile App,Administration,Access Control","mobile,admin,user-management,permissions,phase-3","13","MOB-005,MOB-019,MOB-052","POST /api/v1/signup; GET/PATCH/DELETE /api/v1/user/[id]; POST/PATCH /api/v1/module_access/**","src/app/admin/employees/[id]/page.jsx; src/app/api/v1/signup/route.js; src/app/api/v1/module_access/**","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-054","Story","MOB-E09","","Provide read-only audit logs and defer destructive recovery tools","Add a paginated, filterable, read-only audit log for authorized admins. Keep deleted-media/deleted-record recovery and configuration editing out of the initial mobile releases unless a later security review approves them.","Supports operational troubleshooting without introducing high-risk destructive controls on mobile.","Authorized users can filter logs by date, user, entity, and action.
Results are paginated and show local timestamp plus correlation ID where available.
Log details never expose secrets or credentials.
No log mutation is possible.
Deleted-record/media recovery and constants configuration are explicitly absent or feature-flagged off.
A follow-up decision record captures whether those tools ever move to mobile.","Low","Phase 3","Sprint 11","Mobile App,Audit,Administration","mobile,logs,audit,phase-3","5","MOB-006,MOB-019","GET /api/v1/logs","src/app/admin/logs/page.jsx; src/app/admin/deletefiles/page.jsx; src/app/admin/config/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","Deleted-record recovery, media purge, constants configuration."
"MOB-E10","Epic","","Quality, Security, Release, and Operations","Quality, Security, Release, and Operations","Verify the mobile app across devices and real operational conditions, instrument it safely, complete UAT, and release through managed beta and store workflows.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","Release","Continuous through Sprint 8","QA,Security,Mobile App,DevOps","mobile,qa,security,release,observability","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-055","Task","MOB-E10","","Implement automated unit, component, and API-contract tests","Create the test pyramid for validation, permission gates, API client behavior, queries/mutations, offline queue, date handling, and critical UI components. Add backend contract tests for the mobile API.","Prevents regressions as the mobile and web clients evolve together.","Test strategy defines required coverage by risk rather than a vanity percentage.
Authentication, RBAC, date/time, idempotency, upload queue, and error normalization have automated tests.
Mock server responses conform to OpenAPI.
Tests run reliably in CI.
Flaky tests are quarantined only with an owner and deadline.
Critical backend contracts run against staging or an isolated test database.","Highest","Continuous","Sprint 1 onward","QA,Mobile App,Backend API","mobile,tests,contract,ci","13","MOB-002,MOB-010,MOB-013","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-056","Task","MOB-E10","","Automate end-to-end tests for critical mobile journeys","Automate representative iOS and Android flows: login, session expiry, assigned lot, project/lot detail, stage update, photo capture/upload, offline retry, checklist update, meeting creation, push deep link, and logout.","Validates that integrated user journeys work on real mobile stacks.","Critical-path scenarios run against a controlled staging environment.
Test data is deterministic and cleaned safely.
At least one physical-device or managed device-farm run covers both platforms before release.
Offline/network-throttling scenarios are included.
Failures retain screenshots/logs without secrets or customer media.
Release is blocked on agreed critical failures.","Highest","Continuous","Sprint 3 onward","QA,Mobile App,E2E","mobile,e2e,ios,android","13","MOB-016,MOB-017,MOB-027,MOB-035,MOB-040","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-057","Task","MOB-E10","","Complete mobile security and privacy hardening","Threat-model authentication, RBAC, local storage, logs, media, deep links, push payloads, screenshots, backups, jailbreak/root risk, dependency supply chain, and employee/client/financial data.","Reduces the risk of data exposure and unauthorized business actions.","Threat model and data-flow diagram are reviewed.
No secrets, tokens, passwords, bank/TFN data, or media URLs appear in logs/analytics.
TLS, secure storage, backup exclusions, and logout cleanup are verified.
Deep links and push routes re-check authorization.
Dependency and static-analysis findings above the agreed severity are resolved.
Penetration test or independent security review is completed before production.
Privacy disclosures and retention rules match actual behavior.","Highest","Release","Sprint 6-7","Security,Privacy,Mobile App,Backend API","mobile,security,privacy,threat-model","13","MOB-004,MOB-005,MOB-007,MOB-014,MOB-043","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-058","Task","MOB-E10","","Validate accessibility and responsive behavior","Audit all MVP screens with VoiceOver, TalkBack, dynamic font sizes, high contrast, reduced motion, keyboard/switch access where relevant, compact phones, and tablets.","Ensures the operational app is usable by the full workforce.","No critical screen-reader blocker remains.
Touch targets, labels, roles, focus order, contrast, error announcements, and dynamic type meet the agreed standard.
Core flows work at large accessibility font sizes without clipped actions.
Reduced-motion preference is respected.
Phone portrait and tablet layouts are verified.
Accessibility defects are tracked with severity and owner.","High","Release","Sprint 6-7","QA,Accessibility,Mobile App","mobile,accessibility,responsive,qa","8","MOB-012","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
